name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,distance_cm,level_pct,ts
"15.5645,-88.0286",2023-12-28,30.9,22.7,26.3,36.8,22.7,28.1,23.8,86.7,0.2,100,4.17,rain,0,0,29.9,25.9,31.1,1012.6,58.1,9.8,193.2,16.7,7,30,2023-12-28T06:17:26,2023-12-28T17:29:59,0.56,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",2.02,81.6,118000
"15.5645,-88.0286",2023-12-29,25.0,17.8,23.1,25.0,17.8,23.1,22.0,93.5,18.585,100,33.33,rain,0,0,20.2,29.7,13.5,1014.9,93.0,8.0,125.1,10.7,5,10,2023-12-29T06:17:51,2023-12-29T17:30:32,0.59,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",9.91,9.9,119000
"15.5645,-88.0286",2023-12-30,22.9,18.9,21.6,22.9,18.9,21.6,20.1,91.8,11.117,100,29.17,rain,0,0,48.2,21.4,53.7,1019.0,95.8,7.2,24.3,2.2,1,10,2023-12-30T06:18:15,2023-12-30T17:31:06,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",9.24,16.0,120000
"15.5645,-88.0286",2023-12-31,23.0,18.8,20.6,23.0,18.8,20.6,18.7,89.5,0.246,100,16.67,rain,0,0,19.8,12.5,139.6,1020.3,95.2,9.1,52.0,4.6,2,10,2023-12-31T06:18:38,2023-12-31T17:31:41,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",3.66,66.7,121000
"15.5645,-88.0286",2024-01-01,26.7,18.9,22.7,28.5,18.9,22.7,20.4,87.7,0.045,100,8.33,rain,0,0,26.3,17.9,4.2,1018.1,81.5,7.9,145.7,12.5,6,10,2024-01-01T06:19:00,2024-01-01T17:32:15,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",4.34,60.5,122000
"15.5645,-88.0286",2024-01-02,27.7,20.5,23.6,29.8,20.5,23.8,21.0,85.9,6.324,100,12.5,rain,0,0,33.1,25.3,7.2,1017.7,89.6,10.1,78.9,6.7,4,10,2024-01-02T06:19:22,2024-01-02T17:32:50,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",6.16,44.0,123000
"15.5645,-88.0286",2024-01-03,29.8,21.8,24.7,32.4,21.8,25.4,21.1,82.0,0.0,0,0.0,rain,0,0,22.3,18.7,18.8,1014.8,52.5,10.3,215.5,18.7,8,10,2024-01-03T06:19:43,2024-01-03T17:33:25,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",9.22,16.2,124000
"15.5645,-88.0286",2024-01-04,29.8,21.9,24.9,33.0,21.9,25.9,21.9,84.5,0.935,100,4.17,rain,0,0,24.8,14.2,27.9,1015.5,57.9,10.3,151.0,13.0,6,10,2024-01-04T06:20:02,2024-01-04T17:34:01,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",9.87,10.3,125000
"15.5645,-88.0286",2024-01-05,31.8,21.2,25.7,36.0,21.2,27.0,22.3,83.2,0.0,0,0.0,,0,0,26.6,19.4,3.9,1011.7,33.1,9.8,219.3,19.0,7,30,2024-01-05T06:20:21,2024-01-05T17:34:36,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",4.06,63.1,126000
"15.5645,-88.0286",2024-01-06,33.5,20.2,26.2,35.4,20.2,27.3,21.2,77.0,0.0,0,0.0,,0,0,24.8,22.8,263.3,1010.2,25.7,9.1,236.3,20.5,8,10,2024-01-06T06:20:39,2024-01-06T17:35:12,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",6.51,40.8,127000
"15.5645,-88.0286",2024-01-07,30.9,20.7,25.1,34.6,20.7,26.1,21.4,81.6,0.0,0,0.0,,0,0,23.4,21.2,36.3,1013.6,26.9,10.4,209.5,18.0,8,10,2024-01-07T06:20:55,2024-01-07T17:35:48,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MGPB,MHLM,V7QK9,MHTE,78637099999,C6VG7",8.46,23.1,128000
"15.5645,-88.0286",2024-01-08,31.9,20.9,25.5,34.0,20.9,26.6,21.2,78.9,0.0,0,0.0,,0,0,25.9,19.8,338.0,1011.9,28.9,10.4,211.7,18.4,7,10,2024-01-08T06:21:11,2024-01-08T17:36:24,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78706099999,78708099999,MHLM,V7QK9,MGPB,MHTE,78637099999,C6VG7",5.15,53.2,129000
"15.5645,-88.0286",2024-01-09,34.5,20.0,26.1,35.5,20.0,26.8,19.7,71.3,0.0,0,0.0,,0,0,23.0,24.0,265.7,1010.3,17.0,10.1,236.7,20.4,8,10,2024-01-09T06:21:26,2024-01-09T17:37:00,0.94,Clear,Clear conditions throughout the day.,clear-day,"78706099999,78708099999,MHLM,MGPB,V7QK9,MHTE,78637099999,C6VG7",7.85,28.6,130000
